service_date,est_ridership,otp_score,has_special_event,total_track_pct_log,line_blue,line_green,line_red,day_of_week_Friday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,month_April,month_August,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,otp_score_lag1,ridership_lag1,slow_zones_7day_avg,otp_score_7day_avg,weekend_flag,slow_zones_x_weekend,alerts_x_weekend,reliability_x_slow_zones,slow_zones_x_blue,slow_zones_x_green,slow_zones_x_orange,slow_zones_x_red,infrastructure_stress_pc1,infrastructure_stress_pc2,inconvenience_pc1,inconvenience_pc2,service_quality_cluster_1,service_quality_cluster_2
2023-01-01,27863.44,0.9005843073622035,False,0.07198667686273198,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,23.0,0.9005843073622035,True,4.795831523312719,0.0,4.319050610648406,0.0,0.0,0.0,4.795831523312719,-1.4389734938206842,-0.8586647905660567,-1.5316829751763177,0.2971738017267434,False,False
2023-01-02,40917.08,0.900120767132407,False,0.07198667686273198,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9005843073622035,27863.44,23.0,0.9003525372473052,False,0.0,0.0,4.316827549802024,0.0,0.0,0.0,4.795831523312719,-1.4389734938209986,-0.8586647905660638,-0.706379438485117,-0.16235830233347648,False,False
2023-01-03,75115.94,0.8838189974848886,False,0.07421459935995689,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.900120767132407,40917.08,23.333333333333332,0.8948413573264996,False,0.0,0.0,4.329811137632292,0.0,0.0,0.0,4.898979485566356,-1.3937526952378578,-0.8527154310148615,-0.7063794384851447,-0.16235830233352946,False,False
2023-01-04,84428.32,0.8978529046624372,False,0.07198667686273198,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.8838189974848886,75115.94,23.25,0.895594244160484,False,0.0,0.0,4.305951263478006,0.0,0.0,0.0,4.795831523312719,-1.4389734938209713,-0.8586647905660734,-1.5316829751762338,0.2971738017267741,False,False
2023-01-05,84581.3,0.900574187025546,False,0.07198667686273198,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8978529046624372,84428.32,23.2,0.8965902327334965,False,0.0,0.0,4.319002075218838,0.0,0.0,0.0,4.795831523312719,-1.4389734938209713,-0.8586647905660734,-1.5316829751762338,0.2971738017267741,False,False
2023-01-06,73358.6,0.8982298553972158,False,0.07198667686273198,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.900574187025546,84581.3,23.166666666666668,0.8968635031774497,False,0.0,0.0,4.307759055694593,0.0,0.0,0.0,4.795831523312719,-1.4389734938209713,-0.8586647905660734,-1.5316829751762338,0.2971738017267741,False,False
2023-01-07,34456.77,0.6146293871335208,False,0.07198667686273198,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8982298553972158,73358.6,23.142857142857142,0.8565443437426027,True,4.795831523312719,1.3862943611198906,2.947658989969316,0.0,0.0,0.0,4.795831523312719,-1.4389734938209713,-0.8586647905660734,1.2865463292066812,0.9014415951933193,True,False
2023-01-08,24745.07,0.6544786819741311,False,0.07198667686273198,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6146293871335208,34456.77,23.142857142857142,0.8213863972585924,True,4.795831523312719,1.0986122886681098,3.138769494347698,0.0,0.0,0.0,4.795831523312719,-1.4389734938209713,-0.8586647905660734,0.4612427925155925,1.3609736992536234,True,False
2023-01-09,80904.18,0.8753774193088165,False,0.0738436234702478,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6544786819741311,24745.07,23.285714285714285,0.8178516332837937,False,0.0,0.0,4.28845601932191,0.0,0.0,0.0,4.898979485566356,-1.397887855557332,-0.8555279512435826,2.9371534025888586,-0.017622612927288575,False,False
2023-01-10,90884.45,0.9073173081745484,False,0.07421459935995689,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.8753774193088165,80904.18,23.285714285714285,0.8212085348108878,False,0.0,0.0,4.444928879646399,0.0,0.0,0.0,4.898979485566356,-1.393752695237858,-0.8527154310148615,0.11892409820594378,-0.6218904063938338,False,False
